ps_unique_id|customer_nbr|group_nbr|source_derived|subgroup_nbr|account_nbr|product_ln_cd|rx_product_cd|plan_id|fund_ctg_cd|option_cd|rx_intgrtn_opt_cd|ee_id|ee_last_name|ee_first_name|subs_zip_cd|ssn_nbr|member_id|src_rx_member_id|last_name|first_name|src_mbr_gender_cd|mbr_rtp_type_cd|src_mbr_birth_dt|filler1|filler2|clm_status|dir_mbr_reim_ind|ee_ntwk_srv_area_id|office_id|sort_name|prescriber_id|spclty_ctg_cd|address_line_1|address_line_2|nabp_nbr|phm_zip_cd|process_dt|disp_dt|ndc_cd|label_nm|formulary_cd|generic_cd|source_type_cd|retail_mod_cd|new_refill_cnt|daw_cd|unts_dispensed_qty|days_supply_cnt|sub_ing_cost_amt|prof_fee_amt|awp_amt|sales_tax_amt|app_to_per_ded_amt|srv_copay_amt|paid_amt|ahf_paid_amt|ahf_bfd_amt|gpi_1st_10_bytes|phi_acas_bypass_cd|price_type_cd|calc_ing_cost_amt|prescbr_id_qlfy_cd|prod_distnctn_cd|rx_claim_id|compound_cd|maint_drug_cd|prescription_nbr|spaces1|spaces2|derived1|derived2|filler3|org_cd
002026060100000011|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000251|Gonzalez|Nora|53353|905327811|W000000251|W000000251|Gonzalez|Nora|F|EE|19871112|||P|N|NY0001|OFF0003|Gonzalez Nora|DR000035|05|1346 PHARMACY ST||7000003|49549|20260524|20260522|00378395305|Levothyroxine 50mcg|1|Y|R|R|0|0|90|30|33.00|6.51|48.00|0.00|0.00|15.00|24.51|0.00|0.00|5400001000|N|AWP|31.80|01||RX2026060100000011|0|N|6278710||||||AETNA
002026060100000012|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000225|Ramirez|Aiden|34909|520768375|W000000225|W000000225|Ramirez|Aiden|M|EE|19720528|||P|N|NY0001|OFF0075|Ramirez Aiden|DR000021|02|6887 PHARMACY ST||7000075|52523|20260529|20260528|00169750111|Ozempic 0.5mg pen|3|N|R|R|1|3|90|90|2160.00|6.10|3300.00|0.00|0.00|80.00|2086.10|0.00|0.00|2720004000|N|AWP|2125.02|01||RX2026060100000012|0|N|7139258||||||AETNA
002026060100000013|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000116|Williams|Evelyn|69479||W000000589|W000000589|Williams|Emily|F|CH|20070914|||P|N|NY0001|OFF0003|Williams Emily|DR000090|12|7909 PHARMACY ST||7000003|49549|20260508|20260507|00006098154|Januvia 100mg|3|N|M|M|4|0|60|30|570.00|3.79|840.00|0.00|0.00|100.00|473.79|0.00|0.00|2720003000|N|AWP|547.91|01||RX2026060100000013|0|Y|7462064||||||AETNA
002026060100000014|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000141|Lewis|Riley|67296|913701010|W000000141|W000000141|Lewis|Riley|F|EE|19930224|||P|N|NY0001|OFF0057|Lewis Riley|DR000123|11|3337 PHARMACY ST||7000057|50731|20260426|20260425|63304082805|Metoprolol 25mg|1|Y|R|R|0|3|60|90|16.00|5.59|24.00|0.00|0.87|5.00|15.72|0.00|0.00|3700002000|N|AWP|15.96|01||RX2026060100000014|0|Y|8888491||||||AETNA
002026060100000015|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000300|Jackson|Sofia|18082|520653316|W000000300|W000000300|Jackson|Sofia|F|EE|19920114|||P|N|NY0001|OFF0052|Jackson Sofia|DR000103|38|1718 PHARMACY ST||7000052|89811|20260417|20260417|00378395305|Levothyroxine 50mcg|1|Y|M|R|5|1|30|90|11.00|2.27|16.00|0.00|0.00|5.00|8.27|0.00|0.00|5400001000|N|AWP|10.57|01||RX2026060100000015|0|N|6560963||||||AETNA
002026060100000016|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000130|Rodriguez|James|69476||W000000601|W000000601|Rodriguez|Noah|M|CH|20031016|||P|N|NY0001|OFF0077|Rodriguez Noah|DR000019|09|2335 PHARMACY ST||7000077|53918|20260505|20260505|00310015615|Humira 40mg/0.4mL|3|N|R|R|3|0|90|60|14400.00|6.30|20400.00|0.00|2119.08|80.00|12207.22|0.00|0.00|8000001000|N|AWP|14043.68|01||RX2026060100000016|0|Y|5030786||||||AETNA
002026060100000017|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000095|Brown|Nora|50299|419761524|W000000095|W000000095|Brown|Nora|F|EE|19790626|||P|N|NY0001|OFF0066|Brown Nora|DR000035|10|6027 PHARMACY ST||7000066|71210|20260405|20260405|00093721956|Metformin 500mg|1|Y|M|R|1|0|60|60|12.50|7.76|18.00|0.00|0.00|15.00|5.26|0.00|0.00|2720002000|N|AWP|12.49|01||RX2026060100000017|0|Y|9596931||||||AETNA
002026060100000018|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000360|Miller|Evelyn|33497|727659792|W000000360|W000000360|Miller|Evelyn|F|EE|19801028|||P|N|NY0001|OFF0073|Miller Evelyn|DR000052|11|5182 PHARMACY ST||7000073|40156|20260418|20260417|00093310505|Sertraline 50mg|1|Y|R|M|3|0|90|30|31.50|5.89|45.00|0.00|0.00|10.00|27.39|0.00|0.00|5800002000|N|AWP|29.97|01||RX2026060100000018|0|N|4851457||||||AETNA
002026060100000019|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000316|Anderson|Noah|67046|583363383|W000000316|W000000316|Anderson|Noah|M|EE|19660325|||P|N|NY0001|OFF0072|Anderson Noah|DR000134|12|9513 PHARMACY ST||7000072|25976|20260413|20260411|51479087501|Jardiance 10mg|3|N|R|R|3|3|30|30|480.00|9.11|700.00|0.00|42.75|60.00|386.36|0.00|0.00|2720005000|N|AWP|468.93|01||RX2026060100000019|0|N|2746152||||||AETNA
002026060100000020|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000126|Thomas|Aria|11709|910469907|W000000126|W000000126|Thomas|Aria|F|EE|19640507|||P|N|NY0001|OFF0032|Thomas Aria|DR000066|38|6606 PHARMACY ST||7000032|21428|20260502|20260501|51479087501|Jardiance 10mg|3|N|M|R|0|3|60|30|960.00|6.68|1400.00|0.00|0.00|100.00|866.68|0.00|0.00|2720005000|N|AWP|940.94|01||RX2026060100000020|0|N|7809351||||||AETNA
002026060100000021|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000205|Taylor|William|98641|159246667|W000000205|W000000205|Taylor|William|M|EE|19660217|||P|N|NY0001|OFF0059|Taylor William|DR000050|50|3287 PHARMACY ST||7000059|89642|20260425|20260425|00378395305|Levothyroxine 50mcg|1|Y|R|M|4|0|60|60|22.00|7.27|32.00|0.00|0.00|5.00|24.27|0.00|0.00|5400001000|N|AWP|21.83|01||RX2026060100000021|0|N|1975683||||||AETNA
002026060100000022|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000276|White|Ethan|98100||W000000526|W000000526|White|Aiden|M|CH|20170912|||P|N|NY0001|OFF0069|White Aiden|DR000042|08|5063 PHARMACY ST||7000069|63078|20260405|20260405|51479087501|Jardiance 10mg|3|N|R|R|5|3|90|30|1440.00|9.31|2100.00|0.00|0.00|80.00|1369.31|0.00|0.00|2720005000|N|AWP|1408.14|01||RX2026060100000022|0|N|8088369||||||AETNA
002026060100000023|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000380|Martinez|Zoey|65448||W000000590|W000000590|Martinez|Ava|F|CH|20030518|||P|N|NY0001|OFF0029|Martinez Ava|DR000002|38|9896 PHARMACY ST||7000029|24865|20260422|20260420|00093721956|Metformin 500mg|1|Y|R|R|4|0|60|90|12.50|8.17|18.00|0.00|0.00|5.00|15.67|0.00|0.00|2720002000|N|AWP|12.16|01||RX2026060100000023|0|N|5188400||||||AETNA
002026060100000024|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000374|Lewis|Henry|47833||W000000556|W000000556|Lewis|Ethan|M|CH|20180919|||P|N|NY0001|OFF0064|Lewis Ethan|DR000006|05|7151 PHARMACY ST||7000064|31031|20260426|20260424|00093310505|Sertraline 50mg|1|Y|R|R|0|1|30|90|10.50|6.19|15.00|0.00|0.70|10.00|5.99|0.00|0.00|5800002000|N|AWP|10.33|01||RX2026060100000024|0|Y|5005137||||||AETNA
002026060100000025|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000301|Jones|Henry|59394||W000000662|W000000662|Jones|Charlotte|F|SP|19670125|||P|N|NY0001|OFF0025|Jones Charlotte|DR000086|05|2720 PHARMACY ST||7000025|14293|20260419|20260417|00378395305|Levothyroxine 50mcg|1|Y|R|R|0|3|90|90|33.00|4.71|48.00|0.00|2.67|5.00|30.04|0.00|0.00|5400001000|N|AWP|32.85|01||RX2026060100000025|0|N|5790807||||||AETNA
002026060100000026|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000388|Lopez|Henry|32831|640423471|W000000388|W000000388|Lopez|Henry|M|EE|19761211|||P|N|NY0001|OFF0060|Lopez Henry|DR000062|08|6085 PHARMACY ST||7000060|21000|20260515|20260513|00002774601|Trulicity 0.75mg|3|N|R|M|0|0|90|60|2250.00|9.60|3150.00|0.00|0.00|100.00|2159.60|0.00|0.00|2720006000|N|AWP|2244.22|01||RX2026060100000026|0|Y|4667679||||||AETNA
002026060100000027|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000243|Robinson|Noah|60935||W000000580|W000000580|Robinson|Oliver|M|SP|19790618|||P|N|NY0001|OFF0008|Robinson Oliver|DR000137|12|7405 PHARMACY ST||7000008|21234|20260529|20260527|00247100552|Albuterol HFA Inhaler|2|N|R|R|0|0|60|60|70.00|9.94|110.00|0.00|5.17|35.00|39.77|0.00|0.00|4400001000|N|AWP|68.09|01||RX2026060100000027|0|N|1519759||||||AETNA
002026060100000028|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000325|Perez|David|78788||W000000576|W000000576|Perez|Henry|M|CH|20070521|||P|N|NY0001|OFF0070|Perez Henry|DR000011|50|2648 PHARMACY ST||7000070|89690|20260527|20260526|00781107905|Amlodipine 5mg|1|Y|R|R|4|0|90|30|27.00|9.01|40.50|0.00|0.00|5.00|31.01|0.00|0.00|3600002000|N|AWP|26.02|01||RX2026060100000028|0|N|3855173||||||AETNA
002026060100000029|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000097|Gonzalez|Sebastian|52627|302748623|W000000097|W000000097|Gonzalez|Sebastian|M|EE|19890422|||P|N|NY0001|OFF0070|Gonzalez Sebastian|DR000078|38|9214 PHARMACY ST||7000070|89690|20260410|20260409|00093721956|Metformin 500mg|1|Y|R|R|1|3|60|90|12.50|4.56|18.00|0.00|0.00|5.00|12.06|0.00|0.00|2720002000|N|AWP|11.92|01||RX2026060100000029|0|N|6545248||||||AETNA
002026060100000030|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000199|Clark|Sophia|68249||W000000428|W000000428|Clark|Scarlett|F|CH|20061201|||P|N|NY0001|OFF0025|Clark Scarlett|DR000058|04|9901 PHARMACY ST||7000025|14293|20260530|20260529|00093310505|Sertraline 50mg|1|Y|R|R|4|0|90|90|31.50|3.68|45.00|0.00|0.00|10.00|25.18|0.00|0.00|5800002000|N|AWP|31.00|01||RX2026060100000030|0|N|2707583||||||AETNA
002026060100000031|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000193|Brown|Elijah|60850|689919896|W000000193|W000000193|Brown|Elijah|M|EE|19710203|||P|N|NY0001|OFF0022|Brown Elijah|DR000119|04|1441 PHARMACY ST||7000022|45157|20260528|20260526|00247100552|Albuterol HFA Inhaler|2|N|R|M|1|0|60|30|70.00|2.97|110.00|0.00|0.00|30.00|42.97|0.00|0.00|4400001000|N|AWP|69.21|01||RX2026060100000031|0|N|1512214||||||AETNA
002026060100000032|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000304|Walker|Logan|85991|724856655|W000000304|W000000304|Walker|Logan|M|EE|19931112|||P|N|NY0001|OFF0043|Walker Logan|DR000005|11|2938 PHARMACY ST||7000043|39150|20260508|20260508|00310015615|Humira 40mg/0.4mL|3|N|M|R|0|3|60|60|9600.00|8.57|13600.00|0.00|0.00|120.00|9488.57|0.00|0.00|8000001000|N|AWP|9251.00|01||RX2026060100000032|0|N|2036885||||||AETNA
002026060100000033|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000202|Miller|Carter|49187|407986662|W000000202|W000000202|Miller|Carter|M|EE|19750610|||P|N|NY0001|OFF0077|Miller Carter|DR000028|12|3577 PHARMACY ST||7000077|53918|20260530|20260530|51479087501|Jardiance 10mg|3|N|R|M|4|0|30|60|480.00|6.91|700.00|0.00|0.00|60.00|426.91|0.00|0.00|2720005000|N|AWP|474.46|01||RX2026060100000033|0|N|9069756||||||AETNA
002026060100000034|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000218|Lopez|Charlotte|97904|192403324|W000000218|W000000218|Lopez|Charlotte|F|EE|19840610|||P|N|NY0001|OFF0076|Lopez Charlotte|DR000039|07|6665 PHARMACY ST||7000076|38218|20260406|20260406|51479087501|Jardiance 10mg|3|N|R|M|2|0|30|60|480.00|8.21|700.00|0.00|0.00|60.00|428.21|0.00|0.00|2720005000|N|AWP|464.57|01||RX2026060100000034|0|Y|4981933||||||AETNA
002026060100000035|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000318|Davis|Elizabeth|65669|250696794|W000000318|W000000318|Davis|Elizabeth|F|EE|19900221|||P|N|NY0001|OFF0060|Davis Elizabeth|DR000023|03|3905 PHARMACY ST||7000060|21000|20260530|20260530|00006098154|Januvia 100mg|3|N|R|R|4|0|90|60|855.00|8.72|1260.00|0.00|0.00|80.00|783.72|0.00|0.00|2720003000|N|AWP|832.28|01||RX2026060100000035|0|Y|2650672||||||AETNA
002026060100000036|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000374|Lewis|Henry|47833||W000000501|W000000501|Lewis|Logan|M|CH|20081206|||P|N|NY0001|OFF0037|Lewis Logan|DR000070|06|7541 PHARMACY ST||7000037|68588|20260413|20260412|63304082805|Metoprolol 25mg|1|Y|R|R|4|0|60|30|16.00|6.15|24.00|0.00|2.10|5.00|15.05|0.00|0.00|3700002000|N|AWP|15.81|01||RX2026060100000036|0|N|9779485||||||AETNA
002026060100000037|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000131|Hernandez|Isabella|74298|168568667|W000000131|W000000131|Hernandez|Isabella|F|EE|19881110|||P|N|NY0001|OFF0068|Hernandez Isabella|DR000081|11|9294 PHARMACY ST||7000068|29538|20260531|20260529|00247100552|Albuterol HFA Inhaler|2|N|R|R|2|1|30|90|35.00|5.81|55.00|0.00|0.00|30.00|10.81|0.00|0.00|4400001000|N|AWP|34.56|01||RX2026060100000037|0|Y|6877854||||||AETNA
002026060100000038|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000199|Clark|Sophia|68249||W000000632|W000000632|Clark|Oliver|M|CH|20110410|||P|N|NY0001|OFF0055|Clark Oliver|DR000109|02|6209 PHARMACY ST||7000055|87194|20260408|20260406|65862001705|Omeprazole 20mg|1|Y|R|R|3|0|30|30|7.50|4.88|11.00|0.00|0.00|10.00|2.38|0.00|0.00|4920001000|N|AWP|7.31|01||RX2026060100000038|0|N|9823371||||||AETNA
002026060100000039|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000386|Wilson|Victoria|97819|660561252|W000000386|W000000386|Wilson|Victoria|F|EE|19720804|||P|N|NY0001|OFF0064|Wilson Victoria|DR000070|05|5775 PHARMACY ST||7000064|31031|20260408|20260406|00781107905|Amlodipine 5mg|1|Y|R|R|0|3|90|30|27.00|2.08|40.50|0.00|0.00|5.00|24.08|0.00|0.00|3600002000|N|AWP|25.95|01||RX2026060100000039|0|Y|7332091||||||AETNA
002026060100000040|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000136|Hernandez|Ava|60237|604823576|W000000136|W000000136|Hernandez|Ava|F|EE|19620710|||P|N|NY0001|OFF0025|Hernandez Ava|DR000077|04|6801 PHARMACY ST||7000025|14293|20260411|20260409|00006098154|Januvia 100mg|3|N|R|R|3|0|60|30|570.00|5.00|840.00|0.00|0.00|60.00|515.00|0.00|0.00|2720003000|N|AWP|563.08|01||RX2026060100000040|0|Y|3315088||||||AETNA
002026060100000041|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000111|Garcia|Mia|63080|449202842|W000000111|W000000111|Garcia|Mia|F|EE|19871209|||P|N|NY0001|OFF0075|Garcia Mia|DR000078|09|679 PHARMACY ST||7000075|52523|20260513|20260512|51479087501|Jardiance 10mg|3|N|R|R|1|0|90|90|1440.00|8.69|2100.00|0.00|0.00|100.00|1348.69|0.00|0.00|2720005000|N|AWP|1377.73|01||RX2026060100000041|0|N|9649453||||||AETNA
002026060100000042|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000199|Clark|Sophia|68249||W000000428|W000000428|Clark|Scarlett|F|CH|20061201|||P|N|NY0001|OFF0016|Clark Scarlett|DR000020|38|9475 PHARMACY ST||7000016|67376|20260505|20260504|00378395305|Levothyroxine 50mcg|1|Y|R|R|0|0|90|90|33.00|2.80|48.00|0.00|0.00|15.00|20.80|0.00|0.00|5400001000|N|AWP|31.52|01||RX2026060100000042|0|N|8513831||||||AETNA
002026060100000043|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000005|Garcia|Aria|23173|123433954|W000000005|W000000005|Garcia|Aria|F|EE|19640727|||P|N|NY0001|OFF0021|Garcia Aria|DR000104|03|7469 PHARMACY ST||7000021|21364|20260414|20260413|00093310505|Sertraline 50mg|1|Y|R|R|1|0|30|60|10.50|7.25|15.00|0.00|0.00|15.00|2.75|0.00|0.00|5800002000|N|AWP|10.13|01||RX2026060100000043|0|N|4577390||||||AETNA
002026060100000044|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000044|Young|Sofia|29022|874732285|W000000044|W000000044|Young|Sofia|F|EE|19621207|||P|N|NY0001|OFF0030|Young Sofia|DR000094|03|1603 PHARMACY ST||7000030|87853|20260426|20260426|00006098154|Januvia 100mg|3|N|R|R|5|0|90|30|855.00|4.80|1260.00|0.00|0.00|100.00|759.80|0.00|0.00|2720003000|N|AWP|854.04|01||RX2026060100000044|0|N|4883724||||||AETNA
002026060100000045|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000283|Lewis|Harper|98004|503863588|W000000283|W000000283|Lewis|Harper|F|EE|19780201|||P|N|NY0001|OFF0069|Lewis Harper|DR000042|06|8435 PHARMACY ST||7000069|63078|20260410|20260410|00093721956|Metformin 500mg|1|Y|R|R|3|0|30|90|6.25|2.33|9.00|0.00|0.00|10.00|0.00|0.00|0.00|2720002000|N|AWP|6.02|01||RX2026060100000045|0|N|4879401||||||AETNA
002026060100000046|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000386|Wilson|Victoria|97819|660561252|W000000386|W000000386|Wilson|Victoria|F|EE|19720804|||P|N|NY0001|OFF0011|Wilson Victoria|DR000038|50|1235 PHARMACY ST||7000011|42028|20260523|20260522|00378395305|Levothyroxine 50mcg|1|Y|R|R|4|1|30|60|11.00|2.90|16.00|0.00|0.58|5.00|8.32|0.00|0.00|5400001000|N|AWP|10.85|01||RX2026060100000046|0|Y|1411442||||||AETNA
002026060100000047|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000336|Young|Scarlett|15878||W000000595|W000000595|Young|Michael|M|CH|20200318|||P|N|NY0001|OFF0040|Young Michael|DR000088|04|3158 PHARMACY ST||7000040|92147|20260514|20260514|00378395305|Levothyroxine 50mcg|1|Y|M|R|5|0|90|30|33.00|2.28|48.00|0.00|2.66|15.00|17.62|0.00|0.00|5400001000|N|AWP|32.00|01||RX2026060100000047|0|Y|8451098||||||AETNA
002026060100000048|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000079|Walker|Logan|32122|858341578|W000000079|W000000079|Walker|Logan|M|EE|19800508|||P|N|NY0001|OFF0078|Walker Logan|DR000064|09|3471 PHARMACY ST||7000078|96216|20260601|20260531|00781107905|Amlodipine 5mg|1|Y|R|M|5|1|60|60|18.00|5.00|27.00|0.00|0.00|5.00|18.00|0.00|0.00|3600002000|N|AWP|17.59|01||RX2026060100000048|0|N|8462096||||||AETNA
002026060100000049|1234567|0987654|N|001|AC123456|PPO|RX|PPO001|F|01|I|W000000339|Brown|Liam|28890|840773135|W000000339|W000000339|Brown|Liam|M|EE|19610824|||P|N|NY0001|OFF0005|Brown Liam|DR000071|05|6381 PHARMACY ST||7000005|40491|20260516|20260514|00310015615|Humira 40mg/0.4mL|3|N|R|R|2|1|90|60|14400.00|6.93|20400.00|0.00|0.00|120.00|14286.93|0.00|0.00|8000001000|N|AWP|14172.02|01||RX2026060100000049|0|N|6625642||||||AETNA
