ps_unique_id|customer_nbr|group_nbr|idn_indicator|subgroup_nbr|account_nbr|file_id|clm_ln_type_cd|non_prfrrd_srv_cd|plsp_prod_cd|product_ln_cd|classification_cd|bnft_pkg_id|plan_id|benefit_tier_cd|fund_ctg_cd|src_subscriber_id|emp_last_nm|emp_first_nm|emp_gender|subscriber_brth_dt|subs_zip_cd|subs_st_postal_cd|coverage_type_cd|ssn_nbr|member_id|src_clm_mbr_id|mem_last_nm|mem_first_nm|mem_gender|mbr_rtp_type_cd|birth_dt|src_clm_id|acas_src_claim_line_id|acas_prev_clm_seg_id|derived_tcn_nbr|src_claim_line_id|claim_line_id|ntwk_srv_area_id|paid_prvdr_nsa_id|srv_capacity_cd|pcp_tax_id_format_cd|pcp_tax_id_nbr|pcp_print_nm|svc_pvdr_tax_id_format_cd|svc_pvdr_tax_id_nbr|srv_prvdr_id|srv_prvdr_print_nm|srv_prvdr_address_line_1_txt|srv_prvdr_address_line_2_txt|srv_prvdr_city_nm|srv_prvdr_state_postal_cd|srv_prvdr_zip_cd|srv_prvdr_provider_type_cd|srv_prvdr_specialty_cd|payee_cd|paid_prvdr_par_cd|received_dt|adjn_dt|srv_start_dt|srv_stop_dt|paid_dt_for_file_id_03_else_adjn_dt_for_other_file_id|filler1|filler2|filler3|mdc_cd|drg_cd|prcdr_cd|prcdr_modifier_cd_1|prcdr_type_cd|icd10_indicator|med_cost_subctg_cd|prcdr_group_nbr|type_srv_cd|srv_benefit_cd|tooth_1_nbr|plc_srv_cd|dschrg_status_cd|revenue_cd|hcfa_bill_type_cd|unit_cnt|src_unit_cnt|src_billed_amt|billed_amt|not_covered_amt_1|not_covered_amt_2|not_covered_amt_3|clm_ln_msg_cd_1|clm_ln_msg_cd_2|clm_ln_msg_cd_3|covered_amt|allowed_amt|filler_space|srv_copay_amt|src_srv_copay_amt|deductible_amt|coinsurance_amt|src_coins_amt|bnft_payable_amt|paid_amt|cob_paid_amt|ahf_bfd_amt|ahf_paid_amt|negot_savings_amt|r_c_savings_amt|cob_savings_amt|src_cob_svngs_amt|pri_payer_cvg_cd|cob_type_cd|cob_cd|prcdr_cd_ndc|acas_member_cumb_id|clm_ln_status_cd|src_member_id|reversal_cd|admit_cnt|admin_savings_amt|adj_prvdr_dsgnn_cd|aex_plan_dsgntn_cd|aex_benefit_tier_cd|aex_prvdr_spctg_cd|prod_distnctn_cd|billed_eligible_amt|spclty_ctg_cls_cd|poa_cd_1|poa_cd_2|poa_cd_3|filler4|filler5|filler6|pricing_mthd_cd|type_class_cd|specialty_ctg_cd|srv_prvdr_npi|ttl_ded_met_ind|ttl_interest_amt|ttl_surcharge_amt|srv_spclty_ctg_cd|hcfa_plc_srv_cd|hcfa_admit_src_cd|hcfa_admit_type_cd|src_admit_dt|src_discharge_dt|prcdr_modifier_cd_2|prcdr_modifier_cd_3|poa_cd_4|poa_cd_5|poa_cd_6|poa_cd_7|poa_cd_8|poa_cd_9|poa_cd_10|pri_icd9_dx_cd|icd9_dx_cd_2|icd9_dx_cd_3|icd9_dx_cd_4|icd9_dx_cd_5|icd9_dx_cd_6|icd9_dx_cd_7|icd9_dx_cd_8|icd9_dx_cd_9|icd9_dx_cd_10|icd9_prcdr_cd_1|icd9_prcdr_cd_2|icd9_prcdr_cd_3|icd9_prcdr_cd_4|icd9_prcdr_cd_5|icd9_prcdr_cd_6|ahf_det_order_cd|ahf_mbr_coins_amt|ahf_mbr_copay_amt|ahf_mbr_ded_amt|sensitivity_indicator|ub92_admission_type|filler7|org_cd
002026060100000011|1234567|0987654|N|001|AC123456|03|P|N||PPO|03|PKG0042|PPO001|3|F|W000000369|Perez|Emma|F|19690818|93568|VA|EF|874466810|W000000369|W000000369|Perez|Emma|F|EE|19690818|202606010000011|ACAS2026060100000011||TCN2026060100000011|SRC2026060100000011|002026060100000011|NY0001|NY0001||2|100000081|DR Taylor MD|2|100000081|PV000081|DR Taylor MD|2999 MEDICAL PLAZA||VA MEDICAL CTR|VA|46559|1|06|P|P|20260501|20260519|20260409|20260409|20260523||||||99396||P|Y|02||M|||12||||1|2|773.47|773.47|773.47|0.00|0.00||CO45||0.00|0.00||30.00|30.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00||N|||W000000369|D|W000000369|0|0|0.00|||3|06||773.47|||Y|||||1||06|2000000081|N|0.00|0.00|06|12|||||50|50||||||||E66.9|J45.909|||||||||99396|||||||0.00|30.00|0.00|N|||AETNA
002026060100000012|1234567|0987654|N|001|AC123456|03|P|N||PPO|02|PKG0042|PPO001|3|F|W000000117|Davis|Grace|F|19920528|62080|CO|EF||W000000683|W000000683|Davis|Ava|F|CH|20000414|202606010000012|ACAS2026060100000012||TCN2026060100000012|SRC2026060100000012|002026060100000012|NY0001|NY0001||2|100000240|DR Thomas MD|2|100000240|PV000240|DR Thomas MD|1582 MEDICAL PLAZA||MI MEDICAL CTR|MI|40973|1|50|P|P|20260509|20260523|20260512|20260512|20260526||||||99204|51|P|Y|07||F|||23||||2|3|677.97|677.97|335.59|0.00|0.00|PR1|CO45||342.38|342.38||40.00|40.00|56.45|61.20|61.20|184.73|184.73|0.00|0.00|0.00|335.59|0.00|0.00|0.00||N|||W000000683|P|W000000683|0|0|0.00|||3|50||677.97||Y|Y|||||1||50|2000000240|N|0.00|0.00|50|23|||||25|||||||||Z23|I25.10|Z00.00||||||||99204|||||||61.20|40.00|56.45|N|||AETNA
002026060100000013|1234567|0987654|N|001|AC123456|03|P|N||PPO|03|PKG0042|PPO001|3|F|W000000024|Jackson|Sebastian|M|19901220|62551|NY|EE||W000000516|W000000516|Jackson|William|M|CH|20011115|202606010000013|ACAS2026060100000013||TCN2026060100000013|SRC2026060100000013|002026060100000013|NY0001|NY0001||2|100000074|DR Martinez MD|2|100000074|PV000074|DR Martinez MD|8397 MEDICAL PLAZA||NY MEDICAL CTR|NY|75821|1|40|P|P|20260514|20260519|20260522|20260522|20260521||||||90847||P|Y|01||F|||24||||2|2|224.20|224.20|135.45|0.00|0.00|PR1|CO45||88.75|88.75||30.00|30.00|18.43|6.41|6.41|33.91|33.91|0.00|0.00|0.00|135.45|0.00|0.00|0.00||N|||W000000516|P|W000000516|0|0|0.00|||3|40||224.20||||Y||||1||40|2000000074|N|0.00|0.00|40|24||||||26|Y|||||||F41.9|Z23|R05|K57.30|||||||90847|||||||6.41|30.00|18.43|N|||AETNA
002026060100000014|1234567|0987654|N|001|AC123456|03|P|N||PPO|01|PKG0042|PPO001|1|F|W000000116|Williams|Evelyn|F|19660412|69479|WA|EF||W000000533|W000000533|Williams|Chloe|F|CH|20160613|202606010000014|ACAS2026060100000014||TCN2026060100000014|SRC2026060100000014|002026060100000014|NY0001|NY0001||2|100000095|DR Walker MD|2|100000095|PV000095|DR Walker MD|7095 MEDICAL PLAZA||PA MEDICAL CTR|PA|57285|1|05|P|P|20260508|20260517|20260415|20260415|20260519||||||99395||P|Y|03||1|||12||||2|2|1709.54|1709.54|444.77|0.00|0.00|PR1|CO45||1264.77|1264.77||40.00|40.00|149.20|121.95|121.95|953.62|953.62|0.00|0.00|0.00|444.77|0.00|0.00|0.00||N|||W000000533|P|W000000533|0|0|0.00|||1|05||1709.54||N|Y|||||1||05|2000000095|N|0.00|0.00|05|12|||||GT|||||||||G43.909|I10|||||||||99395|||||||121.95|40.00|149.20|N|||AETNA
002026060100000015|1234567|0987654|N|001|AC123456|03|P|N||PPO|03|PKG0042|PPO001|3|F|W000000013|Lopez|Isabella|F|19690106|99591|IL|EC||W000000503|W000000503|Lopez|Lucas|M|SP|19721227|202606010000015|ACAS2026060100000015||TCN2026060100000015|SRC2026060100000015|002026060100000015|NY0001|NY0001||2|100000156|DR Ramirez MD|2|100000156|PV000156|DR Ramirez MD|160 MEDICAL PLAZA||CA MEDICAL CTR|CA|78119|1|06|P|P|20260502|20260518|20260321|20260321|20260521||||||82947||P|Y|06||2|||23||||3|1|434.06|434.06|277.53|0.00|0.00|PR1|CO45||156.53|156.53||0.00|0.00|35.28|22.69|22.69|98.56|98.56|0.00|0.00|0.00|277.53|0.00|0.00|0.00||N|||W000000503|P|W000000503|0|0|0.00|||3|06||434.06||||Y||||1||06|2000000156|N|0.00|0.00|06|23||||||||||||||J30.9||J06.9|F32.9|||||||82947|||||||22.69|0.00|35.28|N|||AETNA
002026060100000016|1234567|0987654|N|001|AC123456|01|I|N||PPO|03|PKG0042|PPO001|2|F|W000000352|Williams|Harper|F|19710926|36114|CA|EE||W000000551|W000000551|Williams|Benjamin|M|CH|20120324|202606010000016|ACAS2026060100000016||TCN2026060100000016|SRC2026060100000016|002026060100000016|NY0001|NY0001||2|100000252|DR Ramirez MD|2|100000252|PV000252|DR Ramirez MD|7012 MEDICAL PLAZA||IL MEDICAL CTR|IL|41703|4|12|P|P|20260504|20260519|20260515|20260515|20260520||||02|195|99205|26|I|Y|04||4|||13|20|0450|132|1|1|383.76|383.76|216.99|0.00|0.00|PR1|CO45||166.77|166.77||20.00|20.00|45.47|24.10|24.10|77.20|77.20|0.00|0.00|0.00|216.99|0.00|0.00|0.00||N|||W000000551|P|W000000551|0|1|0.00|||2|12||383.76||N|N|||||1||12|2000000252|N|0.00|0.00|12|13|2||20260515|20260515|GT|TC||||||||M17.11|G43.909|||||||||99205|||||||24.10|20.00|45.47|N|||AETNA
002026060100000017|1234567|0987654|N|001|AC123456|03|P|Y||PPO|03|PKG0042|PPO001|N|F|W000000360|Miller|Evelyn|F|19801028|33497|PA|EF|727659792|W000000360|W000000360|Miller|Evelyn|F|EE|19801028|202606010000017|ACAS2026060100000017||TCN2026060100000017|SRC2026060100000017|002026060100000017|NY0001|NY0001||2|100000116|DR Martin MD|2|100000116|PV000116|DR Martin MD|4870 MEDICAL PLAZA||NC MEDICAL CTR|NC|61859|1|11|P|N|20260420|20260516|20260423|20260423|20260519||||||99396|50|P|Y|07||4|||21||||2|1|1976.43|1976.43|1058.01|0.00|0.00|PR1|CO45||918.42|918.42||50.00|50.00|193.71|147.09|147.09|527.62|527.62|0.00|0.00|0.00|1058.01|0.00|0.00|0.00||N|||W000000360|P|W000000360|0|0|0.00|||N|11||1976.43|||Y|||||1||11|2000000116|N|0.00|0.00|11|21||||||AT||||||||K21.0|K57.30|||||||||99396|||||||147.09|50.00|193.71|N|||AETNA
002026060100000018|1234567|0987654|N|001|AC123456|03|P|N||PPO|01|PKG0042|PPO001|2|F|W000000090|Martinez|Grace|F|19720122|83871|MI|EC|228764119|W000000090|W000000090|Martinez|Grace|F|EE|19720122|202606010000018|ACAS2026060100000018||TCN2026060100000018|SRC2026060100000018|002026060100000018|NY0001|NY0001||2|100000149|DR Lee MD|2|100000149|PV000149|DR Lee MD|1577 MEDICAL PLAZA||TX MEDICAL CTR|TX|29699|1|40|P|P|20260424|20260518|20260514|20260514|20260522||||||99396|51|P|Y|05||B|||24||||3|3|1780.21|1780.21|1780.21|0.00|0.00||CO45||0.00|0.00||30.00|30.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00||N|||W000000090|D|W000000090|0|0|0.00|||2|40||1780.21||N||||||1||40|2000000149|N|0.00|0.00|40|24||||||59||||||||E78.5|K57.30|||||||||99396|||||||0.00|30.00|0.00|N|||AETNA
002026060100000019|1234567|0987654|N|001|AC123456|01|I|N||PPO|03|PKG0042|PPO001|3|F|W000000001|Harris|Sebastian|M|19600806|85442|CO|ES||W000000588|W000000588|Harris|Jacob|M|CH|20100204|202606010000019|ACAS2026060100000019||TCN2026060100000019|SRC2026060100000019|002026060100000019|NY0001|NY0001||2|100000013|DR Gonzalez MD|2|100000013|PV000013|DR Gonzalez MD|328 MEDICAL PLAZA||OH MEDICAL CTR|OH|53414|4|38|P|P|20260508|20260516|20260507|20260507|20260517||||07|379|99232|AT|I|Y|03||2|||24|01|0636|212|2|2|1741.05|1741.05|972.53|0.00|0.00|PR1|CO45||768.52|768.52||50.00|50.00|135.72|139.43|139.43|443.37|443.37|0.00|0.00|0.00|972.53|0.00|0.00|0.00||N|||W000000588|P|W000000588|0|1|0.00|||3|38||1741.05||||||||1||38|2000000013|N|0.00|0.00|38|24||1|20260507|20260507|50|59||||||||E11.9|M17.11|||||||||99232|||||||139.43|50.00|135.72|N|1||AETNA
002026060100000020|1234567|0987654|N|001|AC123456|03|P|N||PPO|03|PKG0042|PPO001|1|F|W000000316|Anderson|Noah|M|19660325|67046|VA|ES|583363383|W000000316|W000000316|Anderson|Noah|M|EE|19660325|202606010000020|ACAS2026060100000020||TCN2026060100000020|SRC2026060100000020|002026060100000020|NY0001|NY0001||2|100000035|DR Williams MD|2|100000035|PV000035|DR Williams MD|3007 MEDICAL PLAZA||PA MEDICAL CTR|PA|31380|1|05|P|P|20260505|20260524|20260405|20260405|20260528||||||85025|AT|P|Y|02||A|||23||||3|2|488.89|488.89|157.24|0.00|0.00|PR1|CO45||331.65|331.65||40.00|40.00|57.42|45.79|45.79|188.44|188.44|0.00|0.00|0.00|157.24|0.00|0.00|0.00||N|||W000000316|P|W000000316|0|0|0.00|||1|05||488.89|||Y|||||1||05|2000000035|N|0.00|0.00|05|23||||||||Y||||||Z87.891|E11.9|||I10||||||85025|||||||45.79|40.00|57.42|N|||AETNA
002026060100000021|1234567|0987654|N|001|AC123456|03|P|N||PPO|01|PKG0042|PPO001|1|F|W000000351|Jones|Sofia|F|19680308|52206|NC|EE|534814198|W000000351|W000000351|Jones|Sofia|F|EE|19680308|202606010000021|ACAS2026060100000021||TCN2026060100000021|SRC2026060100000021|002026060100000021|NY0001|NY0001||2|100000017|DR Taylor MD|2|100000017|PV000017|DR Taylor MD|6364 MEDICAL PLAZA||NY MEDICAL CTR|NY|77895|1|02|P|P|20260512|20260528|20260503|20260503|20260529||||||99214||P|Y|06||S|||13||||3|1|636.94|636.94|433.00|0.00|0.00|PR1|CO45||203.94|203.94||20.00|20.00|18.64|41.20|41.20|124.10|124.10|0.00|0.00|0.00|433.00|0.00|0.00|0.00||N|||W000000351|P|W000000351|0|0|0.00|||1|02||636.94||N||N||||1||02|2000000017|N|0.00|0.00|02|13||||||50||||||||R51||R51||||||||99214|||||||41.20|20.00|18.64|N|||AETNA
